energy,attenlength
30.00,2437336.09
30.21,2440143.29
30.42,2442950.99
30.63,2445771.14
30.84,2448585.82
31.06,2451412.99
31.27,2454234.66
31.49,2457062.83
31.71,2459885.42
31.93,2462720.57
32.15,2465562.26
32.37,2467655.21
32.60,2468977.30
32.82,2469202.87
33.05,2464140.59
33.28,2459086.94
33.51,2454035.91
33.74,2448999.58
33.98,2443971.94
34.21,2438958.95
34.45,2433954.64
34.69,2428959.02
34.93,2423977.99
35.17,2419005.64
35.42,2414042.00
35.66,2409087.08
35.91,2404140.89
36.16,2399203.46
36.41,2394280.54
36.66,2389372.07
36.92,2384472.32
37.17,2379581.29
37.43,2374699.01
37.69,2369825.49
37.95,2364966.33
38.21,2360110.36
38.48,2355263.19
38.75,2350430.36
39.02,2345600.83
39.29,2340791.09
39.56,2335984.68
39.83,2331192.52
40.11,2326414.58
40.39,2321634.62
40.67,2315908.44
40.95,2310199.76
41.23,2301707.87
41.52,2291974.65
41.81,2282281.73
42.10,2272623.97
42.39,2263006.63
42.68,2253434.80
42.98,2243903.31
43.28,2234412.18
43.58,2224956.45
43.88,2215546.04
44.19,2206175.97
44.49,2196841.38
44.80,2187551.95
45.11,2178298.05
45.43,2169079.77
45.74,2159901.85
46.06,2150764.27
46.38,2141666.99
46.70,2132605.40
47.02,2123584.10
47.35,2114603.03
47.68,2094530.34
48.01,2071946.26
48.34,2046684.88
48.68,2018631.97
49.02,1990968.96
49.36,1963679.78
49.70,1936768.39
50.04,1910226.97
50.39,1884048.14
50.74,1858228.33
51.09,1832760.60
51.45,1807641.62
51.80,1782864.89
52.16,1758430.35
52.52,1734328.61
52.89,1710559.63
53.26,1688795.52
53.63,1668613.38
54.00,1649130.91
54.37,1631316.05
54.75,1613694.46
55.13,1596266.01
55.51,1579025.49
55.90,1561970.39
56.29,1545098.33
56.68,1528406.97
57.07,1511900.93
57.47,1495573.10
57.86,1479416.87
58.27,1463434.62
58.67,1447628.42
59.08,1431993.89
59.49,1418071.62
59.90,1407590.29
60.31,1397186.63
60.73,1388730.73
61.15,1380334.65
61.58,1371988.66
62.01,1363692.77
62.44,1355445.16
62.87,1347247.71
63.31,1339731.89
63.75,1349735.32
64.19,1359815.28
64.63,1371055.64
65.08,1382825.58
65.53,1394696.25
65.99,1406667.60
66.45,1418741.58
66.91,1430924.28
67.37,1443211.78
67.84,1453953.30
68.31,1464231.75
68.78,1474460.86
69.26,1484600.24
69.74,1494808.53
70.22,1505090.22
70.71,1515440.83
71.20,1525862.61
71.70,1536355.55
72.19,1546922.01
72.70,4948094.49
73.20,17896736.19
73.71,18203765.30
74.22,18516056.57
74.73,18833679.21
75.25,19156746.82
75.77,19485352.86
76.30,19819598.05
76.83,20159591.39
77.36,20505501.63
77.90,20857327.95
78.44,21215135.05
78.98,21579084.00
79.53,21949270.85
80.08,22325809.01
80.64,22701434.37
81.20,23058151.97
81.76,23420476.24
82.33,23786784.78
82.90,24158615.81
83.48,24536234.50
84.06,24919752.17
84.64,25309272.99
85.23,25704899.02
85.82,26106709.08
86.41,26383268.15
87.01,26655400.32
87.62,26828409.78
88.22,26941643.86
88.84,27055354.71
89.45,27169542.29
90.07,27284206.48
90.70,27399354.64
91.33,27514979.15
91.96,27631095.04
92.60,27747710.05
93.24,27864832.16
93.89,27982430.39
94.54,28100512.16
95.20,28219093.04
95.86,28338173.02
96.52,28457760.15
97.19,28577830.01
97.87,28698431.43
98.55,28819573.33
99.23,28941222.98
99.92,29063354.92
100.61,29186002.39
101.31,29309208.34
102.01,29432947.77
102.72,29552233.42
103.43,29665201.50
104.15,29775631.68
104.87,29860301.57
105.60,29945194.31
106.33,30030228.43
107.07,30115483.85
107.81,30201014.94
108.56,30286849.78
109.32,30372924.85
110.07,30459295.72
110.84,30545897.96
111.61,30632693.78
112.38,30719710.60
113.16,30806966.93
113.95,30894481.75
114.74,30982226.43
115.53,31070171.67
116.34,31158345.78
117.14,31246924.13
117.96,31335791.52
118.77,31424859.70
119.60,31514117.85
120.43,31603634.80
121.26,31693390.53
122.10,31783404.99
122.95,31873749.35
123.81,31964332.92
124.66,31922853.95
125.53,31785445.70
126.40,31632486.18
127.28,31433888.25
128.16,31236558.52
129.05,31040428.61
129.95,30845528.37
130.85,30651876.52
131.75,30459453.44
132.67,30268231.01
133.59,30078200.31
134.52,29889361.54
135.45,29701705.77
136.39,29515232.96
137.34,29329916.98
138.29,29145783.71
139.25,28962807.12
140.21,28780978.77
141.19,28600290.35
142.17,28420733.72
143.15,28242308.84
144.15,28064976.03
145.15,27888775.10
146.15,27713689.87
147.17,27539719.85
148.19,27366826.86
149.22,27194996.56
150.25,27024258.87
151.30,26820365.24
152.35,26605629.80
153.40,26392062.53
154.47,26179415.39
155.54,25968488.28
156.62,25759240.74
157.70,25551692.99
158.80,25345799.07
159.90,25141559.55
161.01,24938974.33
162.13,24738030.44
163.25,24538703.06
164.38,24340997.91
165.53,24144873.10
166.67,23950323.20
167.83,23757331.22
168.99,23565902.87
