energy,totattenyescoherent
1000.00,319950.00
1300.00,158976.00
1600.00,1010340.00
1900.00,689040.00
2200.00,483570.00
2500.00,347220.00
2800.00,256419.00
3100.00,194724.00
3300.00,164430.00
3600.00,129843.00
3900.00,104355.00
4200.00,85050.00
4500.00,70200.00
4800.00,58590.00
5100.00,49383.00
5400.00,42012.00
5700.00,36018.00
6000.00,31131.00
6300.00,27081.00
6600.00,23692.50
6900.00,20849.40
7200.00,18438.30
7400.00,17034.30
7700.00,15182.10
8000.00,13586.40
8300.00,12206.70
8600.00,11005.20
8900.00,9957.60
9200.00,9036.90
9500.00,8226.90
9800.00,7508.70
10100.00,6874.20
10400.00,6307.20
10700.00,5802.30
11000.00,5348.70
11300.00,4941.00
11500.00,4692.60
11800.00,4352.40
12100.00,4041.90
12400.00,3761.10
12700.00,3504.60
13000.00,3272.40
13300.00,3059.10
13600.00,2864.70
13900.00,2686.77
14200.00,2523.42
14500.00,2372.76
14800.00,2234.25
15100.00,2106.27
15400.00,1988.28
15600.00,1914.30
15900.00,1810.35
16200.00,1713.96
16500.00,1624.32
16800.00,1540.89
17100.00,1463.40
17400.00,1390.77
17700.00,1323.27
18000.00,1260.09
18300.00,1201.23
18600.00,1145.88
18900.00,1094.04
19200.00,1045.17
19500.00,999.54
19700.00,970.65
20000.00,929.34
20300.00,890.46
20600.00,853.74
20900.00,819.18
21200.00,786.51
21500.00,755.73
21800.00,726.57
22100.00,699.03
22400.00,672.84
22700.00,648.27
23000.00,624.78
23300.00,602.37
23600.00,581.31
23800.00,567.81
24100.00,548.37
24400.00,530.01
24700.00,512.46
25000.00,495.72
25300.00,479.52
25600.00,464.40
25900.00,449.82
26200.00,436.05
26500.00,422.82
26800.00,410.13
27100.00,397.98
27400.00,386.64
27700.00,375.57
27900.00,368.28
28200.00,358.02
28500.00,348.30
28800.00,338.85
29100.00,329.67
29400.00,321.03
29700.00,312.66
30000.00,304.56
