energy,totattenyescoherent
1.00E+03,365810
1.30E+03,182345.8
1.60E+03,104850
1.90E+03,706223
2.20E+03,529376
2.50E+03,381188
2.80E+03,277037
3.10E+03,208232.1
3.30E+03,175845.1
3.60E+03,139567
3.90E+03,112911.8
4.20E+03,92477.7
4.50E+03,76517.2
4.80E+03,63981.8
5.10E+03,54032.7
5.40E+03,46040.8
5.70E+03,39563.4
6.00E+03,34251
6.30E+03,29824
6.60E+03,26142.6
6.90E+03,23034.38
7.20E+03,20396.82
7.40E+03,18859.02
7.70E+03,16824.93
8.00E+03,15072.77
8.30E+03,13553.61
8.60E+03,12232.5
8.90E+03,11076.82
9.20E+03,10060.94
9.50E+03,9163.89
9.80E+03,8371.69
1.01E+04,7668.03
1.04E+04,7041.26
1.07E+04,6479.73
1.10E+04,5976.45
1.13E+04,5524.43
1.15E+04,5249.49
1.18E+04,4867.37
1.21E+04,4522.53
1.24E+04,4210.31
1.27E+04,3923.72
1.30E+04,3665.09
1.33E+04,3427.43
1.36E+04,3210.74
1.39E+04,3010.36
1.42E+04,2828.62
1.45E+04,2660.86
1.48E+04,2504.75
1.51E+04,2362.62
1.54E+04,2229.344
1.56E+04,2146.629
1.59E+04,2029.896
1.62E+04,1921.784
1.65E+04,1821.128
1.68E+04,1727.695
1.71E+04,1640.553
1.74E+04,1559.236
1.77E+04,1483.278
1.80E+04,1412.213
1.83E+04,1345.808
1.86E+04,1283.597
1.89E+04,1225.347
1.92E+04,1170.592
1.95E+04,1119.099
1.97E+04,1086.479
2.00E+04,1039.879
2.03E+04,996.075
2.06E+04,954.834
2.09E+04,915.923
2.12E+04,879.109
2.15E+04,844.392
2.18E+04,811.539
2.21E+04,780.55
2.24E+04,750.959
2.27E+04,722.999
2.30E+04,696.67
2.33E+04,671.506
2.36E+04,647.507
2.38E+04,632.362
2.41E+04,610.46
2.44E+04,589.49
2.47E+04,569.685
2.50E+04,550.812
2.53E+04,532.638
2.56E+04,515.396
2.59E+04,499.086
2.62E+04,483.475
2.65E+04,468.563
2.68E+04,454.117
2.71E+04,440.37
2.74E+04,427.322
2.77E+04,414.973
2.79E+04,406.818
2.82E+04,395.168
2.85E+04,383.984
2.88E+04,373.266
2.91E+04,363.014
2.94E+04,353.228
2.97E+04,343.675
3.00E+04,334.588
